"ID
",texto,likesCount,Reproduciones,locationname,Comments,número de DM #menysviolencia,Robo de identidad,Interacciones reiteradas sin consentimiento,Difusión malintencionada,Ataques coordinados,Vigilancia y control,Captación,Hacer de menos,Promoción del machismo,Desamparo,número DM #mesigualtat,Conoce instagram,Evita normalizar la violencia,Cuentalo (y Denuncia),Cuida y apoya a tus amigas,Comparte contenido feminista
1,"from my best friend to my everything, you saved me",0,1101368,EEUU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,"Solo los estupidos, las porquerias los idiotas y los asquerosos cobardes malatratan a la mujer. A esas basuras hay que hacerles los mismo",205,0,Venezuela,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,La maestra de la escuela asi narra lo sucedido. #noalaviolenciacontralamujer,0,68743,Mexico,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Shocking video of baseball player #DanryVasquez beating his girlfriend in the stadium stairwell has been realeased. Video en el que #DanryVasquez ,0,9353,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Tenista Jelena Dokic revela que su padre la maltarataba física y psicologicamnete desde su infancia,279,0,República Dominicana,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Eso no es amor,71,0,desconocido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,Fuiste victima (persona que sufre un daño provocado por otra persona) PERO no tienes que pasar el resto de tu vida como tal. Trabaja tu interior. UN ABRAZO,75,0,Argentina,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8,"Recibir un buen trato exporadicamente o quedarse solo con las buenas intenciones, no excusa la comuniación que ofende, descalifica o emite comentarios destructivos",68,0,desconocido,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,"Nerd, loca, gorda, estorbo, idiota, facil, carga, inutil, fea, falsa, puta. Las palabras a veces son crueles, estas nos matan lentamente. ",370,0,Perú,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10,"""Pero a mi lo que me preocupa es el otro maltrato, el que no deja marcas en la piel."" Walter Riso",269,0,Ecuador,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11,"Hasta aquí de maltratos, de lamentos, de arrepentimientos, es tiempo de salir de esa carcel mental contruida desde el sometimiento. ",154,0,"Buenos Aires, Argentina",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
